이름,선거구,선거구명,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
이양래,전남,진도군,구시군의장선거,7,3,남,rem,60,,74.43499999999997,False,,2
전동평,전남,영암군,구시군의장선거,7,1,남,rev,57,,74.43499999999997,True,,2
박소영,전남,영암군,구시군의장선거,7,3,여,rev,62,정당인,74.43499999999997,False,,2
박성호,전남,영암군,구시군의장선거,7,3,남,,57,,74.43499999999997,False,,2
김철호,전남,영암군,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,2
김산,전남,무안군,구시군의장선거,7,1,남,rev,60,,74.43499999999997,True,,2
김호산,전남,무안군,구시군의장선거,7,3,남,rev,54,정당인,74.43499999999997,False,,2
김재훈,전남,무안군,구시군의장선거,7,3,남,rem,58,,74.43499999999997,False,,2
안기선,전남,무안군,구시군의장선거,7,3,남,rem,42,,74.43499999999997,False,,2
정영덕,전남,무안군,구시군의장선거,7,3,남,rem,54,,74.43499999999997,False,,2
임창진,전남,무안군,구시군의장선거,7,3,남,rem,52,,74.43499999999997,False,,2
김준성,전남,영광군,구시군의장선거,7,1,남,rev,66,정당인,74.43499999999997,True,,2
김연관,전남,영광군,구시군의장선거,7,3,남,rev,75,정당인,74.43499999999997,False,,2
김성모,전남,함평군,구시군의장선거,7,1,남,rev,66,,74.43499999999997,False,,2
이윤행,전남,함평군,구시군의장선거,7,3,남,rev,52,,74.43499999999997,True,,2
노두근,전남,함평군,구시군의장선거,7,3,남,rem,65,,74.43499999999997,False,,2
천경배,전남,신안군,구시군의장선거,7,1,남,rev,42,정당인,74.43499999999997,,,2
정연선,전남,신안군,구시군의장선거,7,3,남,,64,정당인,74.43499999999997,False,,2
고길호,전남,신안군,구시군의장선거,7,,남,rem,73,,74.43499999999997,False,,2
박우량,전남,신안군,구시군의장선거,7,3,남,rem,62,,74.43499999999997,True,,2
임흥빈,전남,신안군,구시군의장선거,7,3,남,rem,57,,74.43499999999997,False,,2
허대만,경북,포항시,구시군의장선거,7,1,남,rev,49,,74.43499999999997,False,,1
이강덕,경북,,구시군의장선거,7,2,남,con,56,,74.43499999999997,True,,1
이창균,경북,포항시,구시군의장선거,7,3,남,con,58,정당인,74.43499999999997,False,,1
손성호,경북,포항시,구시군의장선거,7,3,남,rem,50,,74.43499999999997,False,,1
모성은,경북,포항시,구시군의장선거,7,3,남,rem,54,,74.43499999999997,False,,1
박영희,경북,울릉군,구시군의장선거,7,1,남,rev,54,,74.43499999999997,False,,1
김병수,경북,울릉군,구시군의장선거,7,2,남,con,63,정당인,74.43499999999997,True,,1
최수일,경북,울릉군,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,1
김현욱,경북,울릉군,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,1
남한권,경북,울릉군,구시군의장선거,7,3,남,rem,58,,74.43499999999997,False,,1
임배근,,경주시,구시군의장선거,7,1,남,rev,64,,74.43499999999997,False,,1
주낙영,경북,경주시,구시군의장선거,7,2,남,con,56,정당인,74.43499999999997,True,,1
손경익,경북,경주시,구시군의장선거,7,3,남,con,56,,74.43499999999997,False,,1
최길갈,경북,경주시,구시군의장선거,7,3,남,rem,46,,74.43499999999997,False,,1
박병훈,경북,경주시,구시군의장선거,7,3,남,rem,53,,74.43499999999997,False,,1
최양식,경북,경주시,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,1
김응규,경북,김천시,구시군의장선거,7,2,남,con,62,정당인,74.43499999999997,False,,1
박희주,경북,김천시,구시군의장선거,7,3,남,rem,49,,74.43499999999997,False,,1
김충섭,경북,김천시,구시군의장선거,7,3,남,rem,63,,74.43499999999997,True,,1
이삼걸,경북,안동시,구시군의장선거,7,1,,rev,62,,74.43499999999997,False,,1
권기창,경북,안동시,구시군의장선거,7,2,,con,55,,74.43499999999997,False,,1
권영세,경북,안동시,구시군의장선거,7,3,남,rem,65,,74.43499999999997,True,,1
안원효,경북,안동시,,7,3,남,rem,67,,74.43499999999997,False,,1
장세용,경북,구미시,구시군의장선거,7,1,,rev,64,,74.43499999999997,True,,1
이양호,경북,구미시,구시군의장선거,7,2,남,con,59,정당인,74.43499999999997,False,,1
유능종,경북,구미시,구시군의장선거,7,3,남,con,52,,74.43499999999997,False,,1
박창욱,경북,구미시,구시군의장선거,7,3,남,rem,33,,74.43499999999997,False,,1
김봉재,경북,구미시,구시군의장선거,7,3,남,rem,58,,74.43499999999997,False,,1
윤옥식,경북,영주시,구시군의장선거,7,1,남,rev,54,,74.43499999999997,False,,1
장욱현,경북,영주시,구시군의장선거,7,2,남,con,61,,74.43499999999997,True,,1
김주영,경북,영주시,구시군의장선거,7,3,남,rem,69,,74.43499999999997,False,,1
이정훈,경북,영천시,구시군의장선거,7,1,남,rev,44,정당인,74.43499999999997,False,,1
김수용,경북,영천시,구시군의장선거,7,2,남,con,,정당인,74.43499999999997,False,,1
이남희,경북,영천시,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,1
최기문,경북,영천시,구시군의장선거,7,3,남,rem,65,,74.43499999999997,True,,1
정송,경북,상주시,구시군의장선거,7,1,남,rev,63,정당인,74.43499999999997,False,,1
황천모,경북,상주시,구시군의장선거,7,2,남,con,60,정당인,74.43499999999997,True,,1
김형상,경북,상주시,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,1
이정백,경북,상주시,구시군의장선거,7,3,남,,68,,74.43499999999997,False,,1
성백영,경북,상주시,구시군의장선거,7,3,남,rem,67,,74.43499999999997,False,,1
김종태,경북,상주시,구시군의장선거,7,3,남,rem,69,,74.43499999999997,False,,1
박영기,경북,문경시,구시군의장선거,7,1,남,rev,62,,74.43499999999997,False,,1
고윤환,경북,문경시,,7,2,남,,61,,74.43499999999997,True,,1
신현국,경북,문경시,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,1
권칠경,경북,문경시,구시군의장선거,7,3,남,rem,64,,74.43499999999997,False,,1
김학동,경북,예천군,구시군의장선거,7,2,남,con,55,정당인,74.43499999999997,True,,1
이현준,경북,예천군,구시군의장선거,7,3,남,rem,63,,74.43499999999997,False,,1
김찬진,경북,경산시,구시군의장선거,7,1,남,rev,66,정당인,74.43499999999997,False,,1
최영조,경북,경산시,구시군의장선거,7,2,남,con,63,,74.43499999999997,True,,1
정재학,경북,경산시,구시군의장선거,7,3,남,con,60,정당인,74.43499999999997,False,,1
김태율,경북,청도군,구시군의장선거,7,1,남,rev,65,,74.43499999999997,False,,1
이승율,경북,청도군,구시군의장선거,7,2,남,con,66,,74.43499999999997,True,,1
곽용환,경북,고령군,구시군의장선거,7,2,남,con,59,,74.43499999999997,True,,1
임욱강,경북,고령군,구시군의장선거,7,3,남,rem,57,,74.43499999999997,False,,1
이강태,경북,성주군,구시군의장선거,7,1,남,rev,42,,74.43499999999997,False,,1
이병환,경북,성주군,구시군의장선거,7,2,남,con,59,정당인,74.43499999999997,True,,1
오근화,경북,성주군,구시군의장선거,7,3,,rem,64,,74.43499999999997,False,,1
전화식,경북,성주군,구시군의장선거,7,3,남,rem,60,,74.43499999999997,False,,1
장세호,경북,칠곡군,구시군의장선거,7,1,남,rev,61,,74.43499999999997,False,,1
백선기,경북,칠곡군,구시군의장선거,7,2,남,con,63,,74.43499999999997,True,,1
장재환,경북,칠곡군,구시군의장선거,7,3,남,rem,59,,74.43499999999997,False,,1
김영만,경북,군위군,,7,2,남,con,,,74.43499999999997,True,,1
홍진규,경북,군위군,구시군의장선거,7,3,남,rem,58,,74.43499999999997,False,,1
장욱,경북,군위군,구시군의장선거,7,3,남,rem,63,,74.43499999999997,False,,1
김주수,경북,의성군,구시군의장선거,7,2,남,con,66,,74.43499999999997,True,,1
신광진,경북,의성군,구시군의장선거,7,3,남,rev,59,,74.43499999999997,False,,1
최유철,경북,의성군,구시군의장선거,7,3,남,rem,64,,74.43499999999997,False,,1
윤경희,경북,청송군,구시군의장선거,7,2,남,con,58,정당인,74.43499999999997,True,,1
심상박,경북,청송군,구시군의장선거,7,3,남,rem,62,,74.43499999999997,False,,1
김상선,경북,영양군,구시군의장선거,7,1,남,rev,43,,74.43499999999997,False,,1
오도창,경북,영양군,구시군의장선거,7,2,남,con,58,정당인,74.43499999999997,True,,1
박홍열,경북,영양군,구시군의장선거,7,3,남,rem,59,,74.43499999999997,False,,1
장성욱,경북,영덕군,구시군의장선거,7,1,남,rev,61,정당인,74.43499999999997,False,,1
이희진,경북,영덕군,구시군의장선거,7,2,남,con,54,,74.43499999999997,True,,1
박병일,경북,영덕군,구시군의장선거,7,3,남,rem,56,,74.43499999999997,False,,1
박노욱,경북,봉화군,구시군의장선거,7,2,남,con,57,,74.43499999999997,False,,1
엄태항,경북,봉화군,구시군의장선거,7,3,남,rem,69,,74.43499999999997,True,,1
강진철,경북,울진군,구시군의장선거,7,1,남,rev,58,,74.43499999999997,False,,1
손병복,경북,울진군,구시군의장선거,7,2,남,con,60,,74.43499999999997,False,,1
임광원,경북,울진군,구시군의장선거,7,3,남,rem,67,,74.43499999999997,False,,1
전찬걸,경북,울진군,구시군의장선거,7,3,남,rem,59,,74.43499999999997,True,,1
허성무,경남,창원시,구시군의장선거,7,1,남,rev,54,,74.43499999999997,True,,1
조진래,경남,창원시,구시군의장선거,7,2,남,con,52,,74.43499999999997,False,,1
정규헌,경남,창원시,구시군의장선거,7,3,남,con,51,,74.43499999999997,False,,1
석영철,경남,창원시,구시군의장선거,7,3,남,rev,,정당인,74.43499999999997,False,,1
안상수,경남,창원시,구시군의장선거,7,3,남,rem,72,,74.43499999999997,False,,1
이기우,경남,창원시,구시군의장선거,7,3,남,rem,62,,74.43499999999997,False,,1
갈상돈,경남,진주시,구시군의장선거,7,1,남,rev,53,정당인,74.43499999999997,False,,1
조규일,경남,진주시,구시군의장선거,7,2,남,con,53,,74.43499999999997,True,,1
김동우,경남,진주시,구시군의장선거,7,3,남,rem,47,,74.43499999999997,False,,1
강석주,경남,통영시,구시군의장선거,7,1,남,rev,53,정당인,74.43499999999997,True,,1
강석우,경남,통영시,구시군의장선거,7,2,남,con,59,,74.43499999999997,False,,1
박순옥,경남,통영시,구시군의장선거,7,,,rem,49,,74.43499999999997,False,,1
서맹종,경남,통영시,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,1
진의장,경남,,구시군의장선거,7,3,남,rem,73,,74.43499999999997,False,,1
박청정,경남,통영시,구시군의장선거,7,3,남,rem,75,,74.43499999999997,False,,1
백두현,경남,고성군,구시군의장선거,7,1,남,rev,51,정당인,74.43499999999997,True,,1
김홍식,경남,고성군,구시군의장선거,7,2,남,con,55,,74.43499999999997,False,,1
차상돈,경남,사천시,구시군의장선거,7,1,남,rev,60,,74.43499999999997,False,,1
송도근,경남,사천시,구시군의장선거,7,2,남,con,70,,74.43499999999997,True,,1
이종범,경남,사천시,구시군의장선거,7,3,남,rem,58,,74.43499999999997,False,,1
허성곤,경남,김해시,구시군의장선거,7,1,남,rev,62,,74.43499999999997,True,,2
정장수,경남,김해시,구시군의장선거,7,2,남,con,51,정당인,74.43499999999997,False,,2
허점도,경남,김해시,구시군의장선거,7,3,남,con,57,,74.43499999999997,False,,2
최성근,경남,김해시,,7,3,남,rem,43,,74.43499999999997,False,,2
송재욱,경남,김해시,구시군의장선거,7,3,남,rem,59,,74.43499999999997,False,,2
김동순,경남,김해시,구시군의장선거,7,3,여,rem,42,,74.43499999999997,False,,2
조성환,경남,밀양시,구시군의장선거,7,1,남,rev,59,정당인,74.43499999999997,False,,1
박일호,경남,밀양시,구시군의장선거,7,2,남,con,55,,74.43499999999997,True,,1
변광용,경남,거제시,구시군의장선거,7,1,남,rev,52,정당인,74.43499999999997,True,,1
서일준,경남,거제시,구시군의장선거,7,2,남,con,53,정당인,74.43499999999997,False,,1
박재행,경남,,구시군의장선거,7,,남,rem,67,,74.43499999999997,False,,1
김충규,경남,의령군,구시군의장선거,7,1,남,rev,63,정당인,74.43499999999997,False,,1
이선두,경남,의령군,구시군의장선거,7,2,남,,61,정당인,74.43499999999997,True,,1
한우상,경남,의령군,구시군의장선거,7,3,남,rem,70,,74.43499999999997,False,,1
김용철,경남,함안군,구시군의장선거,7,1,남,rev,56,정당인,74.43499999999997,False,,1
조근제,경남,함안군,구시군의장선거,7,2,남,con,65,정당인,74.43499999999997,True,,1
배한극,경남,함안군,구시군의장선거,7,3,남,rem,65,,74.43499999999997,False,,1
배종열,경남,창녕군,구시군의장선거,7,1,남,rev,56,,74.43499999999997,False,,1
한정우,경남,창녕군,구시군의장선거,7,2,남,con,61,,74.43499999999997,True,,1
하강돈,경남,창녕군,구시군의장선거,7,3,남,rem,69,,74.43499999999997,False,,1
김종규,경남,창녕군,구시군의장선거,7,3,남,rem,69,,74.43499999999997,False,,1
김일권,경남,양산시,구시군의장선거,7,1,남,rev,66,정당인,74.43499999999997,True,,1
나동연,경남,양산시,구시군의장선거,7,2,남,con,62,,74.43499999999997,False,,1
이홍곤,경남,하동군,구시군의장선거,7,1,남,rev,52,,74.43499999999997,False,,1
윤상기,경남,하동군,구시군의장선거,7,2,남,con,63,,74.43499999999997,True,,1
장충남,경남,남해군,구시군의장선거,7,1,남,rev,55,,74.43499999999997,True,,1
박영일,경남,남해군,구시군의장선거,7,2,남,con,,,74.43499999999997,False,,1
이철호,경남,남해군,구시군의장선거,7,3,남,rem,61,,74.43499999999997,False,,1
서필상,경남,함양군,구시군의장선거,7,1,남,rev,47,,74.43499999999997,False,,1
진병영,경남,함양군,구시군의장선거,7,2,남,con,53,정당인,74.43499999999997,False,,1
서춘수,경남,함양군,구시군의장선거,7,3,남,rem,67,,74.43499999999997,True,,1
허기도,경남,산청군,구시군의장선거,7,1,남,rev,64,,74.43499999999997,,,1
이재근,경남,산청군,구시군의장선거,7,2,남,con,65,정당인,74.43499999999997,True,,1
이승화,경남,산청군,구시군의장선거,7,3,남,rem,62,,74.43499999999997,False,,1
배성한,경남,산청군,구시군의장선거,7,3,남,rem,66,,74.43499999999997,False,,1
김기범,경남,거창군,구시군의장선거,7,1,남,rev,49,정당인,74.43499999999997,False,,1
구인모,경남,거창군,구시군의장선거,7,2,남,con,58,정당인,74.43499999999997,True,,1
조성진,경남,거창군,구시군의장선거,7,3,남,rem,42,,74.43499999999997,False,,1
안철우,경남,거창군,구시군의장선거,7,3,남,rem,63,,74.43499999999997,False,,1
정재영,경남,합천군,구시군의장선거,7,1,남,rev,54,,74.43499999999997,False,,1
문준희,경남,합천군,구시군의장선거,7,2,남,con,58,정당인,74.43499999999997,True,,
조찬용,경남,합천군,구시군의장선거,7,3,남,con,63,,74.43499999999997,False,,1
윤정호,경남,합천군,구시군의장선거,7,3,남,rem,49,,74.43499999999997,False,,1
이숙연,서울,종로구,구시군의장선거,6,1,여,con,53,,51.225,False,-0.5681749306450589,3
김영종,서울,종로구,구시군의장선거,6,2,남,rem,60,,51.225,False,,3
배영규,서울,종로구,구시군의장선거,6,3,남,rem,53,,51.225,False,-4.5977010759659365,3
우화성,서울,종로구,구시군의장선거,6,3,남,rem,57,,51.225,False,-4.950835624310965,3
남상해,서울,종로구,구시군의장선거,6,3,남,rem,76,,51.225,False,-2.7932647092931497,3
최창식,서울,중구,구시군의장선거,6,1,남,con,62,,51.225,False,,2
김남성,서울,중구,구시군의장선거,6,2,남,rem,57,,51.225,False,,2
김상국,서울,중구,,6,3,남,rem,61,,51.225,False,-3.431070440496002,2
김연선,서울,중구,구시군의장선거,6,3,여,rem,58,,51.225,False,-3.1490963719933016,2
황춘자,서울,용산구,구시군의장선거,6,1,여,con,60,정당인,51.225,False,-0.22997952473248165,1
성장현,서울,용산구,구시군의장선거,6,2,남,rem,59,,51.225,False,,1
정연욱,서울,용산구,구시군의장선거,,3,남,rev,45,정당인,51.225,False,,1
장철환,서울,성동구,구시군의장선거,6,1,남,con,53,정당인,51.225,False,-0.16916623028117247,2
정원오,서울,성동구,구시군의장선거,6,2,남,rem,45,,51.225,False,,2
최창준,서울,성동구,구시군의장선거,6,3,남,rev,59,정당인,51.225,False,-3.372422163394395,2
,서울,광진구,구시군의장선거,6,1,남,con,48,,51.225,False,-0.1808651179935616,2
김기동,서울,광진구,구시군의장선거,6,2,남,rem,67,정당인,51.225,False,,2
방태원,서울,동대문구,구시군의장선거,6,1,남,con,55,정당인,51.225,False,-0.3820297221027285,2
유덕열,서울,동대문구,구시군의장선거,6,2,남,rem,59,,51.225,False,,2
김재전,서울,동대문구,구시군의장선거,6,3,남,rem,70,,51.225,False,-3.1722446589452,2
나진구,서울,중랑구,구시군의장선거,6,1,남,con,61,정당인,51.225,False,-0.1218923966392736,3
김근종,서울,중랑구,구시군의장선거,6,2,남,rem,55,,51.225,False,,3
박종수,서울,중랑구,구시군의장선거,6,3,남,rem,61,,51.225,False,-3.0219367026884902,3
김규성,서울,성북구,구시군의장선거,6,1,남,con,51,정당인,51.225,False,-0.445945408520034,2
김영배,서울,성북구,구시군의장선거,6,2,남,rem,47,,51.225,False,,2
전택기,서울,성북구,구시군의장선거,6,3,남,rev,40,정당인,51.225,False,-3.8547432986048484,2
황호산,서울,성북구,구시군의장선거,6,3,남,rem,54,,51.225,False,-3.490773006924455,2
김기성,서울,강북구,구시군의장선거,6,1,남,con,66,,51.225,False,-0.4411724202325845,2
박겸수,서울,강북구,구시군의장선거,6,2,남,rem,54,,51.225,False,,2
황선,서울,강북구,구시군의장선거,6,3,여,rev,40,정당인,51.225,False,-4.071311001306934,2
채수창,서울,강북구,구시군의장선거,,3,남,rem,52,,51.225,False,-2.751850370748058,2
이석기,서울,도봉구,구시군의장선거,6,1,남,con,65,,51.225,False,-0.4189239502769771,2
이동진,서울,도봉구,구시군의장선거,6,2,남,rem,53,,,False,,2
조용현,서울,도봉구,구시군의장선거,6,3,남,rev,37,정당인,51.225,False,-3.7322581774158814,2
장일,서울,도봉구,구시군의장선거,6,3,남,rem,55,,51.225,False,-2.936519296699108,2
정기완,서울,노원구,구시군의장선거,6,1,남,con,60,,51.225,False,,2
김성환,서울,노원구,구시군의장선거,6,2,남,rem,48,,51.225,False,,2
정재복,서울,노원구,구시군의장선거,6,3,남,rem,68,정당인,51.225,False,-4.666142542564474,2
임승업,서울,은평구,구시군의장선거,6,1,남,con,59,정당인,51.225,False,-0.3795588662825963,2
김우영,서울,은평구,구시군의장선거,6,2,남,rem,44,,51.225,False,,2
유지훈,서울,은평구,구시군의장선거,6,3,남,rev,32,정당인,51.225,False,-3.3489772713736463,2
이해돈,서울,서대문구,구시군의장선거,6,1,남,con,59,정당인,51.225,False,-0.4053764724969246,2
문석진,서울,서대문구,구시군의장선거,6,2,남,rem,58,,51.225,False,,2
박희진,서울,서대문구,구시군의장선거,6,3,여,rev,,정당인,51.225,False,-3.7658520180450337,2
고은석,서울,서대문구,구시군의장선거,6,3,남,rem,75,,51.225,False,-3.8614870120815694,2
신영섭,서울,마포구,구시군의장선거,6,1,남,con,58,정당인,51.225,False,-0.3509804926526178,2
박홍섭,서울,마포구,구시군의장선거,6,2,남,rem,71,,51.225,False,,2
김보연,서울,마포구,구시군의장선거,6,3,여,rev,35,정당인,51.225,False,-2.9771130978421163,2
오경훈,서울,양천구,구시군의장선거,6,1,남,con,50,,51.225,False,-0.15797559665090646,3
김수영,서울,양천구,구시군의장선거,6,2,여,rem,49,,51.225,False,,3
설창일,서울,양천구,구시군의장선거,6,3,남,rev,40,,51.225,False,-4.066569178358775,3
염동옥,서울,양천구,구시군의장선거,6,3,남,rem,51,,51.225,False,-3.2848415639923303,3
김기철,서울,강서구,구시군의장선거,6,1,남,con,60,정당인,51.225,False,-0.4203771799303717,2
노현송,서울,강서구,구시군의장선거,6,2,남,rem,60,,51.225,False,,2
백철,서울,강서구,구시군의장선거,6,3,남,rem,57,,51.225,False,-2.591265985402893,2
최재무,서울,구로구,구시군의장선거,6,1,남,con,63,정당인,51.225,False,-0.4607462115048001,2
이성,서울,구로구,구시군의장선거,6,2,남,rem,57,,51.225,False,,2
한인수,서울,금천구,구시군의장선거,6,1,남,con,68,정당인,51.225,False,-0.3807703292314901,2
차성수,서울,금천구,구시군의장선거,6,2,남,rem,57,,51.225,,,2
양창호,서울,영등포구,구시군의장선거,6,1,남,con,46,정당인,51.225,False,-0.20204577121168893,3
