이름,위치,선거구,회,몇번,gender,정당,나이,job,당시여당평가,당선,득표율,학력,과,경력,인지,지역구분
김금옥,서울,종로구,7,,남,rev,54,,74.43499999999997,True,-0.6138659615547057,,,False,0.00534335218271486,3
여봉무,서울,종로구,7,3,남,rev,66,,74.43499999999997,False,-1.0981400336416232,,행정,False,0.0017453272550679788,
배효이,서울,종로구,7,2,여,con,64,정당인,74.43499999999997,False,-1.2743264516649837,,,False,0.0011977456315215987,3
경점순,서울,종로구,7,3,여,con,61,,74.43499999999997,False,-1.7763978683761712,,행정,True,0.0005124520215452817,3
정낙송,서울,종로구,7,3,남,,59,,74.43499999999997,False,-4.7909802744294385,,,False,0.00023505064857289707,3
정재호,서울,종로구,7,3,남,rev,54,,74.43499999999997,True,-0.6191753261028685,,,False,0.21516039708541768,
채행숙,서울,종로구,7,3,여,rev,50,정당인,74.43499999999997,False,-1.1778115557289013,,,True,0.0007076493104308972,3
윤종복,서울,종로구,7,2,남,con,70,,74.43499999999997,False,-0.8719471696140254,,법,False,0.00045565733697997576,3
지창수,서울,종로구,7,3,남,con,50,정당인,74.43499999999997,False,-2.321753180933161,,정치,False,0.006235470265626626,3
강성택,서울,종로구,7,,남,rev,58,,74.43499999999997,True,-0.5256344153597259,,,True,0.00149477039441935,3
전영준,서울,종로구,7,3,남,,58,,74.43499999999997,False,,,,False,0.004648221436786826,3
김준영,서울,종로구,7,2,남,con,53,,74.43499999999997,False,-1.3737760746578849,,,False,0.03544226890185526,3
박노섭,서울,종로구,7,3,,con,63,,74.43499999999997,False,-1.7887149238887114,연세대,행정,False,0.001400742694990557,3
유양순,,종로구,7,3,여,rev,58,,74.43499999999997,True,-0.4797115652364881,,,True,0.00048595543997388896,3
라도균,서울,종로구,7,3,남,rev,61,,74.43499999999997,False,-1.0643120129042112,,,False,0.00042083867939428387,3
이재광,서울,종로구,7,3,남,con,70,,74.43499999999997,,-1.54937845751393,,,False,0.0074114943448291126,3
이미자,서울,종로구,7,3,여,con,77,,74.43499999999997,False,-2.8315466770037467,,,,0.7167339315161136,3
황일,서울,종로구,7,3,남,,,,74.43499999999997,False,,,,True,0.000368674853759283,
윤판오,서울,,7,3,,rev,55,정당인,74.43499999999997,True,-0.5613826150311501,,정치,,0.00014245559928185918,2
송희,,중구,,3,여,rev,64,,74.43499999999997,False,-1.667880170841649,,경영,False,0.0018228346687021505,2
박영한,,중구,7,2,남,con,58,,74.43499999999997,False,-0.9113197191521346,,,False,0.00047321669319344084,2
허상욱,서울,중구,7,3,남,con,40,,74.43499999999997,False,-2.248072479930704,,,True,0.0008579515548886295,2
김용만,서울,중구,7,3,남,rev,57,,74.43499999999997,False,-2.636326331104027,,,False,0.11686957131035487,2
조영훈,서울,중구,7,3,남,rev,68,정당인,74.43499999999997,True,-0.6338009809795396,,,True,0.005282297683676425,2
이정미,서울,중구,7,3,여,rev,50,정당인,74.43499999999997,False,-1.34739729500922,,,False,0.25013488906867953,2
고문식,서울,중구,,2,남,con,59,,74.43499999999997,False,-1.2021134917357523,,,False,9.839102787581244e-05,2
변창윤,서울,중구,7,3,남,con,61,정당인,74.43499999999997,False,-2.1756816451645915,,행정,False,5.2221269230630296e-05,2
송재천,서울,중구,7,3,남,rev,53,,74.43499999999997,False,-2.370628455919937,,,False,0.00017911185648812966,2
이승용,서울,중구,7,3,남,,30,정당인,74.43499999999997,True,-0.9028801691860248,,,True,0.003933943060891113,2
김승,서울,중구,7,3,남,rev,54,,74.43499999999997,False,-1.5447834425457472,,,True,0.0021946256490331588,2
길기영,서울,중구,7,2,남,con,57,정당인,74.43499999999997,False,-1.0598082629932002,,정치,True,0.00014917187724868954,
양은미,서울,중구,,3,여,con,45,정당인,74.43499999999997,False,-2.424737600116313,,행정,False,0.000252058872166878,2
최문영,서울,중구,7,3,여,rev,50,정당인,74.43499999999997,False,-3.559870785569633,,경영,True,0.0006045321166986559,2
김기래,서울,중구,7,3,남,rem,53,,74.43499999999997,False,,,경영,True,0.00014539070154914686,2
황신,서울,중구,7,3,남,rem,54,,74.43499999999997,,-2.152385727975695,서울대,외교,False,0.0006644404800460388,2
이혜영,서울,,7,3,여,rev,44,정당인,74.43499999999997,True,-0.5646101229477983,,,True,0.5373146936223349,2
양동용,서울,중구,7,3,남,rev,64,,74.43499999999997,False,-1.8758058681827765,,법,False,7.097751016614972e-05,2
이화묵,서울,중구,7,2,여,con,54,정당인,74.43499999999997,False,-1.2374487335223254,,행정,False,0.0001195892100408456,2
